# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "transcript" "-a" "../KPN MGH 78578_genome.gtf" "-o" "reads_annotate/SRR1720515_annotate.tsv" "bam_merge_paired/SRR1720515_merge_sort.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_merge_paired/SRR1720515_merge_sort.bam
gene-KPN_00150	CP000647.1	175292	176038	-	747	0
gene-KPN_00151	CP000647.1	176028	176513	-	486	2
gene-KPN_00152	CP000647.1	176506	177699	-	1194	0
gene-KPN_00153	CP000647.1	177686	178639	-	954	4
gene-KPN_00154	CP000647.1	178669	179253	-	585	8
gene-KPN_00155	CP000647.1	179262	179627	-	366	0
gene-KPN_00156	CP000647.1	179624	180139	-	516	0
gene-KPN_00157	CP000647.1	180139	180573	-	435	3
gene-KPN_00158	CP000647.1	180582	181796	-	1215	3
gene-KPN_00159	CP000647.1	181798	183291	-	1494	12
gene-KPN_00160	CP000647.1	183288	185261	-	1974	44
gene-KPN_00161	CP000647.1	185271	185942	-	672	1
gene-KPN_00162	CP000647.1	185941	186237	+	297	0
gene-KPN_00163	CP000647.1	186468	189728	+	3261	183
gene-KPN_00164	CP000647.1	191543	194107	+	2565	906
gene-KPN_00165	CP000647.1	194342	196549	+	2208	16
gene-KPN_00166	CP000647.1	196595	197392	+	798	4
gene-KPN_00167	CP000647.1	197392	198282	+	891	4
gene-KPN_00168	CP000647.1	198279	200261	+	1983	24
gene-KPN_00169	CP000647.1	200398	201678	-	1281	101
gene-KPN_00170	CP000647.1	201859	203277	+	1419	158
gene-KPN_00171	CP000647.1	203359	203703	+	345	258
gene-KPN_00172	CP000647.1	203775	204398	-	624	25
gene-KPN_00173	CP000647.1	204435	205235	-	801	25
gene-KPN_00174	CP000647.1	205228	205926	-	699	140
gene-KPN_00175	CP000647.1	206010	207524	+	1515	822
gene-KPN_00176	CP000647.1	207659	209092	+	1434	2296
gene-KPN_00177	CP000647.1	209206	210417	+	1212	369
gene-KPN_00178	CP000647.1	210536	210922	-	387	1618
gene-KPN_00179	CP000647.1	211030	211854	-	825	5636
gene-KPN_00180	CP000647.1	211885	214548	-	2664	367
gene-KPN_00181	CP000647.1	214606	215400	-	795	524
gene-KPN_00182	CP000647.1	215738	216448	+	711	5360
gene-KPN_00183	CP000647.1	216568	217419	+	852	5781
gene-KPN_00184	CP000647.1	217570	218295	+	726	2225
gene-KPN_00185	CP000647.1	218482	219003	+	522	7462
gene-KPN_00186	CP000647.1	219232	220434	+	1203	257
gene-KPN_00187	CP000647.1	220654	221430	+	777	484
gene-KPN_00188	CP000647.1	221518	222300	+	783	317
gene-KPN_00189	CP000647.1	222297	223664	+	1368	1379
gene-KPN_00190	CP000647.1	223696	226125	+	2430	4785
gene-KPN_00191	CP000647.1	226286	226732	+	447	8924
gene-KPN_00192	CP000647.1	226736	227761	+	1026	1443
gene-KPN_00193	CP000647.1	227867	228322	+	456	934
gene-KPN_00194	CP000647.1	228326	229114	+	789	974
gene-KPN_00195	CP000647.1	229114	230265	+	1152	359
gene-KPN_00196	CP000647.1	230262	230861	+	600	641
gene-KPN_00197	CP000647.1	230879	234361	+	3483	1504
gene-KPN_00198	CP000647.1	234374	235333	+	960	1285
gene-KPN_00199	CP000647.1	235411	237600	+	2190	314
gene-KPN_00200	CP000647.1	237647	238036	+	390	51
gene-KPN_00201	CP000647.1	238090	239403	+	1314	126
gene-KPN_00202	CP000647.1	239417	239671	-	255	1103
gene-KPN_00203	CP000647.1	239664	239879	-	216	602
gene-KPN_00204	CP000647.1	240061	240606	+	546	112
gene-KPN_00205	CP000647.1	240603	241016	+	414	165
gene-KPN_00206	CP000647.1	241038	241757	+	720	238
gene-KPN_00207	CP000647.1	241889	242731	-	843	92
gene-KPN_00208	CP000647.1	242791	244509	-	1719	633
gene-KPN_00209	CP000647.1	244621	245328	-	708	148
gene-KPN_00210	CP000647.1	245325	245732	-	408	34
gene-KPN_00211	CP000647.1	245840	246655	-	816	1357
gene-KPN_00212	CP000647.1	246699	247352	-	654	93
gene-KPN_00213	CP000647.1	247345	248376	-	1032	336
gene-KPN_00214	CP000647.1	248514	249131	+	618	225
gene-KPN_00215	CP000647.1	249501	251044	+	1544	140696
gene-KPN_00216	CP000647.1	251109	251185	+	77	3529
gene-KPN_00217	CP000647.1	251222	251297	+	76	1572
gene-KPN_00218	CP000647.1	251475	254378	+	2904	601768
gene-KPN_00219	CP000647.1	254476	254598	+	123	105962
gene-KPN_00220	CP000647.1	254651	254727	+	77	393
gene-KPN_00221	CP000647.1	254892	255695	+	804	92
gene-KPN_00222	CP000647.1	255741	256646	-	906	79
gene-KPN_00223	CP000647.1	256751	257941	+	1191	15
gene-KPN_00224	CP000647.1	258065	258841	+	777	172
gene-KPN_00225	CP000647.1	258933	259703	+	771	48
gene-KPN_00226	CP000647.1	259761	261128	-	1368	662
gene-KPN_00227	CP000647.1	261200	261955	-	756	74
gene-KPN_00228	CP000647.1	262042	262710	+	669	134
gene-KPN_00229	CP000647.1	262707	263174	-	468	50
gene-KPN_00230	CP000647.1	263239	263970	+	732	2129
gene-KPN_00231	CP000647.1	264104	264180	+	77	475
gene-KPN_00232	CP000647.1	264240	265121	-	882	46
gene-KPN_00233	CP000647.1	265225	265815	+	591	13
gene-KPN_00234	CP000647.1	265846	266631	-	786	127
gene-KPN_00235	CP000647.1	266795	269239	-	2445	408
gene-KPN_00236	CP000647.1	269479	270060	+	582	537
gene-KPN_00237	CP000647.1	270135	270902	+	768	344
gene-KPN_00238	CP000647.1	270873	271613	-	741	120
gene-KPN_00239	CP000647.1	272025	273368	+	1344	169
gene-KPN_00240	CP000647.1	273372	274610	+	1239	250
gene-KPN_00241	CP000647.1	274603	275016	+	414	115
gene-KPN_00242	CP000647.1	275388	276026	+	639	279
gene-KPN_00243	CP000647.1	276033	276629	+	597	139
gene-KPN_00244	CP000647.1	276642	277865	+	1224	597
gene-KPN_00245	CP000647.1	277868	278083	+	216	32
gene-KPN_00246	CP000647.1	278306	279166	-	861	58
gene-KPN_00247	CP000647.1	279293	280381	+	1089	185
gene-KPN_00248	CP000647.1	280384	280836	+	453	12
gene-KPN_00249	CP000647.1	280879	282228	-	1350	987
gene-KPN_00250	CP000647.1	282594	283052	+	459	222
gene-KPN_00251	CP000647.1	283158	284402	+	1245	1401
gene-KPN_00252	CP000647.1	284460	284858	+	399	948
gene-KPN_00253	CP000647.1	284944	285636	-	693	56
gene-KPN_00254	CP000647.1	285682	287085	-	1404	349
gene-KPN_00255	CP000647.1	287232	288515	-	1284	419
gene-KPN_00256	CP000647.1	288528	289976	-	1449	417
gene-KPN_00257	CP000647.1	290002	291270	-	1269	159
gene-KPN_00258	CP000647.1	291298	292314	-	1017	273
gene-KPN_00259	CP000647.1	292737	292994	+	258	145
gene-KPN_00260	CP000647.1	293052	293801	+	750	38
gene-KPN_00261	CP000647.1	294073	294537	+	465	110
gene-KPN_00262	CP000647.1	294732	295466	-	735	20
gene-KPN_00263	CP000647.1	295432	296766	-	1335	69
gene-KPN_00264	CP000647.1	296771	299326	-	2556	100
gene-KPN_00265	CP000647.1	299310	300068	-	759	23
gene-KPN_00266	CP000647.1	300128	300664	-	537	4
gene-KPN_00267	CP000647.1	300984	301142	-	159	0
gene-KPN_00268	CP000647.1	302470	303981	+	1512	200
gene-KPN_00269	CP000647.1	305359	305979	+	621	8
gene-KPN_00270	CP000647.1	306218	306574	+	357	16
gene-KPN_00271	CP000647.1	306831	307304	-	474	30
gene-KPN_00272	CP000647.1	307297	308121	-	825	34
gene-KPN_00273	CP000647.1	308354	309334	-	981	0
gene-KPN_00274	CP000647.1	309928	310323	+	396	78
gene-KPN_00275	CP000647.1	311624	312142	+	519	13
gene-KPN_00276	CP000647.1	312191	312889	+	699	0
gene-KPN_00277	CP000647.1	312969	315452	+	2484	64
gene-KPN_00278	CP000647.1	315503	316657	+	1155	12
gene-KPN_00279	CP000647.1	317131	317206	-	76	60
gene-KPN_00280	CP000647.1	317320	318573	-	1254	225
gene-KPN_00281	CP000647.1	318584	319687	-	1104	59
gene-KPN_00282	CP000647.1	320001	321029	+	1029	85
gene-KPN_00283	CP000647.1	321074	321535	-	462	293
gene-KPN_00284	CP000647.1	324274	324444	-	171	4
gene-KPN_00285	CP000647.1	324595	324780	-	186	1
gene-KPN_00286	CP000647.1	324994	325878	-	885	19
gene-KPN_00287	CP000647.1	325875	326747	-	873	6
gene-KPN_00288	CP000647.1	327775	328638	-	864	2
gene-KPN_00289	CP000647.1	328747	328878	+	132	9
gene-KPN_00290	CP000647.1	329466	330008	+	543	6
gene-KPN_00291	CP000647.1	330083	330670	+	588	40
gene-KPN_00292	CP000647.1	330729	331397	+	669	9
gene-KPN_00293	CP000647.1	331474	333948	+	2475	7
gene-KPN_00294	CP000647.1	333938	335581	+	1644	59
gene-KPN_00295	CP000647.1	335550	336260	+	711	8
gene-KPN_00296	CP000647.1	336264	336953	-	690	3
gene-KPN_00297	CP000647.1	336943	337686	-	744	6
gene-KPN_00298	CP000647.1	337692	338510	-	819	4
gene-KPN_00299	CP000647.1	338512	339321	-	810	24
gene-KPN_00300	CP000647.1	339656	339826	+	171	90
gene-KPN_00301	CP000647.1	339943	340638	-	696	4
gene-KPN_00302	CP000647.1	340631	341413	-	783	5
gene-KPN_00303	CP000647.1	341400	342449	-	1050	12
gene-KPN_00304	CP000647.1	342449	343348	-	900	85
gene-KPN_00305	CP000647.1	343368	344474	-	1107	8
gene-KPN_00306	CP000647.1	345049	345825	-	777	6
gene-KPN_00307	CP000647.1	345822	347210	-	1389	51
gene-KPN_00308	CP000647.1	347220	348599	-	1380	39
gene-KPN_00309	CP000647.1	348873	350282	+	1410	12
gene-KPN_00310	CP000647.1	350269	351201	+	933	10
gene-KPN_00311	CP000647.1	351442	352404	+	963	10
gene-KPN_00312	CP000647.1	352416	353183	+	768	0
gene-KPN_00313	CP000647.1	353180	354007	+	828	0
gene-KPN_00314	CP000647.1	354004	354855	+	852	1
gene-KPN_00315	CP000647.1	355011	356729	-	1719	10
gene-KPN_00316	CP000647.1	356933	357907	-	975	438
gene-KPN_00317	CP000647.1	358014	359174	-	1161	65
gene-KPN_00318	CP000647.1	359373	359906	+	534	27
gene-KPN_00319	CP000647.1	360021	361244	+	1224	96
gene-KPN_00320	CP000647.1	361263	362369	+	1107	140
gene-KPN_00321	CP000647.1	362366	362668	-	303	58
gene-KPN_00322	CP000647.1	362921	363124	+	204	34
gene-KPN_00323	CP000647.1	363157	364287	-	1131	213
gene-KPN_00324	CP000647.1	364348	365037	+	690	112
gene-KPN_00325	CP000647.1	365207	366406	+	1200	56
gene-KPN_00326	CP000647.1	366706	366966	+	261	316
gene-KPN_00327	CP000647.1	367056	368486	+	1431	303
gene-KPN_00328	CP000647.1	368596	368895	+	300	9104
gene-KPN_00329	CP000647.1	368962	369777	-	816	1421
gene-KPN_00330	CP000647.1	369888	370346	+	459	121
gene-KPN_00331	CP000647.1	370343	371053	-	711	105
gene-KPN_00332	CP000647.1	371382	371915	+	534	18
gene-KPN_00333	CP000647.1	371987	372178	+	192	1536
gene-KPN_00334	CP000647.1	372434	373114	+	681	1461
gene-KPN_00335	CP000647.1	373192	373476	+	285	231
gene-KPN_00336	CP000647.1	373548	374459	-	912	259
gene-KPN_00337	CP000647.1	374516	375463	+	948	328
gene-KPN_00338	CP000647.1	375537	378674	-	3138	223
gene-KPN_00339	CP000647.1	378671	379876	-	1206	39
gene-KPN_00340	CP000647.1	380059	380748	+	690	1109
gene-KPN_00341	CP000647.1	380770	382065	+	1296	584
gene-KPN_00342	CP000647.1	382480	383799	+	1320	86
gene-KPN_00343	CP000647.1	383940	385259	+	1320	80
gene-KPN_00344	CP000647.1	385411	387228	+	1818	32
gene-KPN_00345	CP000647.1	387225	388127	-	903	19
gene-KPN_00346	CP000647.1	388394	389035	+	642	99
gene-KPN_00347	CP000647.1	389222	389767	+	546	56
gene-KPN_00348	CP000647.1	389792	391660	+	1869	75
gene-KPN_00349	CP000647.1	391719	392579	-	861	22
gene-KPN_00350	CP000647.1	392609	393571	-	963	30
gene-KPN_00351	CP000647.1	393637	394974	-	1338	239
gene-KPN_00352	CP000647.1	395049	395336	-	288	70
gene-KPN_00353	CP000647.1	395342	395785	-	444	91
gene-KPN_00354	CP000647.1	396132	396734	-	603	9415
gene-KPN_00355	CP000647.1	396862	397443	-	582	40
gene-KPN_00356	CP000647.1	397699	398763	+	1065	84
gene-KPN_00357	CP000647.1	398872	399999	+	1128	259
gene-KPN_00358	CP000647.1	400022	400354	+	333	648
gene-KPN_00359	CP000647.1	400414	402228	+	1815	5254
gene-KPN_00360	CP000647.1	402239	403210	+	972	1314
gene-KPN_00361	CP000647.1	403347	403712	+	366	5
gene-KPN_00362	CP000647.1	403736	404431	+	696	8
gene-KPN_00363	CP000647.1	404486	405370	-	885	592
gene-KPN_00364	CP000647.1	405669	406208	-	540	103
gene-KPN_00365	CP000647.1	406356	406805	+	450	288
gene-KPN_00366	CP000647.1	406809	407912	+	1104	52
gene-KPN_00367	CP000647.1	408000	408470	+	471	255
gene-KPN_00368	CP000647.1	408490	408909	+	420	542
gene-KPN_00369	CP000647.1	408981	409952	+	972	120
gene-KPN_00370	CP000647.1	409981	410448	+	468	210
gene-KPN_00371	CP000647.1	410494	411408	-	915	819
gene-KPN_00372	CP000647.1	411529	413391	-	1863	559
gene-KPN_00373	CP000647.1	413410	414309	-	900	269
gene-KPN_00374	CP000647.1	414310	414552	-	243	125
gene-KPN_00375	CP000647.1	414734	416182	+	1449	1615
gene-KPN_00376	CP000647.1	416249	416725	-	477	70
gene-KPN_00377	CP000647.1	416776	417369	-	594	38
gene-KPN_00378	CP000647.1	417332	418243	-	912	194
gene-KPN_00379	CP000647.1	418435	418926	+	492	6372
gene-KPN_00380	CP000647.1	418970	420334	-	1365	114
gene-KPN_00381	CP000647.1	420494	421672	-	1179	73
gene-KPN_00382	CP000647.1	422003	423367	-	1365	15
gene-KPN_00383	CP000647.1	423378	424196	-	819	3
gene-KPN_00384	CP000647.1	424271	425950	-	1680	8
gene-KPN_00385	CP000647.1	425961	426281	-	321	6
gene-KPN_00386	CP000647.1	426295	427971	-	1677	2
gene-KPN_00387	CP000647.1	427968	428801	-	834	2
gene-KPN_00388	CP000647.1	428942	429700	+	759	17
gene-KPN_00389	CP000647.1	429740	430072	-	333	134
gene-KPN_00390	CP000647.1	430322	431209	-	888	2159
gene-KPN_00391	CP000647.1	431221	431550	-	330	2094
gene-KPN_00392	CP000647.1	431550	432161	-	612	2016
gene-KPN_00393	CP000647.1	432151	434142	-	1992	18437
gene-KPN_00394	CP000647.1	434162	435070	-	909	8639
gene-KPN_00395	CP000647.1	435586	437061	-	1476	66
gene-KPN_00396	CP000647.1	437105	437650	-	546	189
gene-KPN_00397	CP000647.1	437986	438303	+	318	2755
gene-KPN_00398	CP000647.1	438649	439947	+	1299	11959
gene-KPN_00399	CP000647.1	440295	440879	+	585	1939
gene-KPN_00400	CP000647.1	441130	442404	+	1275	9300
gene-KPN_00401	CP000647.1	442588	444942	+	2355	12820
gene-KPN_00402	CP000647.1	445152	445424	+	273	9921
gene-KPN_00403	CP000647.1	445639	447513	+	1875	1607
gene-KPN_00404	CP000647.1	447686	448030	+	345	66
gene-KPN_00405	CP000647.1	448142	448543	+	402	269
gene-KPN_00406	CP000647.1	448655	449356	-	702	157
gene-KPN_00407	CP000647.1	449423	451123	-	1701	92
gene-KPN_00408	CP000647.1	451251	452069	+	819	164
gene-KPN_00409	CP000647.1	452114	453166	-	1053	163
gene-KPN_00410	CP000647.1	453282	453740	+	459	130
gene-KPN_00411	CP000647.1	453784	455556	+	1773	100
gene-KPN_00412	CP000647.1	455549	457327	+	1779	122
gene-KPN_00413	CP000647.1	457571	457909	+	339	6
gene-KPN_00414	CP000647.1	457928	459229	+	1302	27
gene-KPN_00415	CP000647.1	459283	460146	-	864	217
gene-KPN_00416	CP000647.1	460363	460854	+	492	1321
gene-KPN_00417	CP000647.1	460892	461203	-	312	84
gene-KPN_00418	CP000647.1	461271	461678	-	408	112
gene-KPN_00419	CP000647.1	462325	462582	+	258	185
gene-KPN_00420	CP000647.1	462579	462794	+	216	41
gene-KPN_00421	CP000647.1	462929	464356	-	1428	30
gene-KPN_00422	CP000647.1	464445	465059	+	615	18
gene-KPN_00423	CP000647.1	465104	465967	-	864	10
gene-KPN_00424	CP000647.1	466060	466404	+	345	76
gene-KPN_00425	CP000647.1	466439	467998	-	1560	390
gene-KPN_00426	CP000647.1	468232	469347	-	1116	104
gene-KPN_00427	CP000647.1	469698	470930	+	1233	45
gene-KPN_00428	CP000647.1	470993	472300	+	1308	29
gene-KPN_00429	CP000647.1	472311	473162	+	852	32
gene-KPN_00430	CP000647.1	473167	474369	+	1203	61
gene-KPN_00431	CP000647.1	474401	476458	+	2058	174
gene-KPN_00432	CP000647.1	476523	476837	+	315	64
gene-KPN_00433	CP000647.1	476974	478245	-	1272	40
gene-KPN_00434	CP000647.1	478516	479586	+	1071	294
gene-KPN_00435	CP000647.1	479702	479965	+	264	40
gene-KPN_00436	CP000647.1	479962	480105	+	144	4
gene-KPN_00437	CP000647.1	480102	480800	-	699	82
gene-KPN_00438	CP000647.1	480901	482352	+	1452	35
gene-KPN_00439	CP000647.1	482327	482797	-	471	188
gene-KPN_00440	CP000647.1	482930	483496	-	567	704
gene-KPN_00441	CP000647.1	483655	483906	-	252	1160
gene-KPN_00442	CP000647.1	483900	484274	-	375	3507
gene-KPN_00443	CP000647.1	484760	487906	-	3147	13487
gene-KPN_00444	CP000647.1	487929	489122	-	1194	1383
gene-KPN_00445	CP000647.1	489265	489915	+	651	547
gene-KPN_00446	CP000647.1	490045	493392	+	3348	750
gene-KPN_00447	CP000647.1	493428	494339	-	912	125
gene-KPN_00448	CP000647.1	494407	494580	-	174	57
gene-KPN_00449	CP000647.1	494593	495123	-	531	25
gene-KPN_00450	CP000647.1	495190	495567	+	378	117
gene-KPN_00451	CP000647.1	495718	496269	+	552	378
gene-KPN_00452	CP000647.1	496362	498269	+	1908	1042
gene-KPN_00453	CP000647.1	498327	498659	+	333	4029
gene-KPN_00454	CP000647.1	498659	499264	+	606	68
gene-KPN_00455	CP000647.1	499375	501249	+	1875	1145
gene-KPN_00456	CP000647.1	501472	502116	+	645	1226
gene-KPN_00458	CP000647.1	503270	504574	+	1305	168
gene-KPN_00459	CP000647.1	504610	506286	-	1677	500
gene-KPN_00460	CP000647.1	506512	507732	-	1221	95
gene-KPN_00461	CP000647.1	508002	509654	+	1653	1306
gene-KPN_00462	CP000647.1	509760	510239	-	480	99
gene-KPN_00463	CP000647.1	510442	511212	-	771	152
gene-KPN_00464	CP000647.1	511368	513923	-	2556	561
